filename,channel,class,bladder_length,Segment_nbhoodsize,Project_level,Original Image,DAI,HAI,Segment_mean,Segment_grad,Combine_level
Heatshock_18-1-16_Day_4.tif,2,,672,-2,8,\\jic-image-data\jic-image_database\ExperimentData2015+\RG-Enrico-Coen\leek\ExpID-8036\Heatshock_18-1-16_Day_4,9.782892,234.7894,2,20,0.3
b12_040417_4dahs_chin_20xi.tif,2,,956,-2,8,\\jic-image-data\jic-image_database\ExperimentData2015+\RG-Enrico-Coen\leek\ExpID-8130\b12_040417_4dahs_chin_20xi.lif,10.59962,254.3908,2,20,0.3
b5_040417_4dahs_chin_20ix.tif,2,,1039,-2,8,\\jic-image-data\jic-image_database\ExperimentData2015+\RG-Enrico-Coen\leek\ExpID-8130\b5_040417_4dahs_chin_20ix.lif,10.79252,259.0204,2,15,0.3
b16_040417_4dahs_chin_20xi.tif,,,1098,-2,8,\\jic-image-data\jic-image_database\ExperimentData2015+\RG-Enrico-Coen\leek\ExpID-8130\b16_040417_4dahs_chin_20xi.lif,10.92049,262.0917,2,20,0.3
b2_040417_4dahs_chin_20xi.tif,,,1112,-2,8,\\jic-image-data\jic-image_database\ExperimentData2015+\RG-Enrico-Coen\leek\ExpID-8130\b2_040417_4dahs_chin_20xi.lif,10.94984,262.7962,2,10,0.3
